penanda;message;tag_gamal;tag_sept;tag_ombur;tag_final
marker;start;;;;
Pembeli;Misi gan,hp Oppo F1 ready?;stok;sapaan;sapaan, stok;stok
Penjual;ready kak, mau yang warna apa?;;;;
Pembeli;yang silver metallic ada gan?;stok;stok;stok;stok
Penjual;Ada kak, apakah sekalian beli case nya?;;;;
Pembeli;Iya gan;;penutup;penutup;penutup
Penjual;silakan order saja kak;;;;
marker;end;;;;
marker;start;;;;
Pembeli;halo sis, Iphone X yang refubished jual gak?;stok;sapaan;stok;stok
Penjual;Ada gan, mau yang warna apa;;;;
Pembeli;harga berapa gan;harga;harga;harga;harga
Penjual;5 jt pas gan tidak bisa nego;;;;
Pembeli;wah itu bukan dari black market kan;produk;produk;produk;produk
Penjual;kita langsung ambil dari pabriknya gan;;;;
Pembeli;oke gan terimakasih;;penutup;penutup;penutup
Penjual;siap;;;;
marker;end;;;;
marker;start;;;;
Pembeli;misi gan, xiaomi redmi 5A ready?;stok;sapaan;stok;stok
Penjual;Semua produk yang kami jual ready semua;;;;
Pembeli;baiklah kalau begitu saya pesan satu;;;penutup;penutup
Penjual;mau warna apa gan?;;;;
Pembeli;golden, ready stock kan?;stok;warna;stok;stok
Penjual;ready gan, silakan dipesan;;;;
marker;end;;;;
marker;start;;;;
Pembeli;gan, barangnya ready ngga?;stok;sapaan;stok;stok
Penjual;ready sist;;;;
Pembeli;ini kalo saya beli yang warna putih ada kan?;stok;warna;stok, warna;stok
Penjual;ada kok sist, tenang saja;;;;
Pembeli;ini ngirimnya lewat apa gan?;pengiriman;pengiriman;pengiriman;pengiriman
Penjual;go send bisa, JNE bisa, J&T juga bisa;;;;
marker;end;;;;
marker;start;;;;
Pembeli;gan oppo yang terbaru yang tipe apa;produk;produk;produk;produk
Penjual;OPPO F1;;;;
Pembeli;ready itu?;stok;stok;stok;stok
Penjual;kebetulan stoknya kosong kak maaf, banyak yang nyari soalnya;;;;
Pembeli;Kira-kira berapa lama ya restocknya?;stok;stok;stok;stok
Penjual;Tunggu saja seminggu lagi kak;;;;
marker;end;;;;
marker;start;;;;
